Slot,Address,Speed,Status,Use,Updated,Release,Consisted,Consist,Throttle ID,Dir,F0,F1,F2,F3,F4,F5,F6,F7,F8
186,7022,"        0",128 step,Idle,11:28:57,Release,none,0,6B 7C,Fwd,false,false,false,false,false,false,false,false,false
187,308,(Consist),128 step,Common,11:36:30,Release,sub(261),307,42 13,Rev,false,false,false,false,false,false,false,false,false
188,999,"        0",128 step,Idle,11:28:57,Release,none,0,6D 35,Fwd,false,false,false,false,false,false,false,false,false
189,5331,"        0",128 step,Idle,11:28:57,Release,none,0,42 15,Rev,false,false,false,false,false,false,false,false,true
190,963,(Consist),128 step,Common,11:36:36,Release,sub(5),143,42 15,Rev,false,false,false,false,false,false,false,false,false
191,5112,"        0",128 step,Idle,11:28:57,Release,none,0,64 45,Fwd,false,false,false,false,false,false,false,false,false
192,5142,"        0",128 step,Idle,11:28:58,Release,none,0,02 71,Fwd,false,false,false,false,false,false,false,false,false
193,5130,(Consist),128 step,In Use,11:36:30,Release,sub(21),1533,02 71,Fwd,false,false,false,false,false,false,false,false,false
194,5536,(Consist),128 step,In Use,11:36:30,Release,sub(21),1533,02 71,Fwd,false,false,false,false,false,false,false,false,false
195,555,"        0",<unknown>,Idle,11:28:58,Release,none,0,6F 7B,Fwd,false,false,false,false,false,false,false,false,false
196,512,"        0",<unknown>,Idle,11:28:58,Release,none,0,6F 7B,Fwd,false,false,false,false,false,false,false,false,false
197,5531,"        0",128 step,Idle,11:28:58,Release,none,0,64 45,Rev,false,false,false,false,false,false,false,false,false
198,723,"        0",<unknown>,Idle,11:28:58,Release,none,0,6F 7B,Fwd,false,false,false,false,false,false,false,false,false
199,4438,"        0",128 step,Idle,11:28:58,Release,none,0,6D 2D,Fwd,true,false,false,false,false,false,false,false,false
200,126,"        0",128 step,Idle,11:28:58,Release,none,0,6D 45,Fwd,false,false,false,false,false,false,true,false,false
201,5315,"        0",128 step,Idle,11:28:58,Release,none,0,64 45,Fwd,false,false,false,false,false,false,false,false,false
202,8317,"        0",128 step,Idle,11:28:58,Release,none,0,42 13,Fwd,false,false,false,false,false,false,false,false,false
203,732,(Consist),128 step,Common,11:36:31,Release,sub(149),5110,42 15,Rev,false,false,false,false,false,false,false,false,true
204,165,"        0",128 step,Idle,11:28:58,Release,none,0,42 13,Rev,false,false,false,false,false,false,false,false,false
205,8368,"        0",<unknown>,Idle,11:28:58,Release,none,0,6F 7A,Fwd,false,false,false,false,false,false,false,false,false
206,9369,"        0"," 28 step",Idle,11:28:58,Release,none,0,42 48,Fwd,false,false,false,false,false,false,false,false,false
207,6864,"        0",128 step,Idle,11:28:58,Release,none,0,64 45,Fwd,false,false,false,false,false,false,false,false,false
208,8639,"        0",128 step,Idle,11:28:58,Release,none,0,64 45,Fwd,false,false,false,false,false,false,false,false,false
209,9301,"        0",128 step,Idle,11:28:58,Release,none,0,42 48,Fwd,true,true,false,false,false,false,false,false,false
210,8320,(Consist),128 step,Common,11:36:31,Release,sub(331),270,42 15,Rev,false,false,false,false,false,false,false,false,true
211,7530,(Consist),128 step,Common,11:36:31,Release,sub(331),270,42 15,Rev,false,false,false,false,false,false,false,false,true
212,8141,"        0",128 step,Idle,11:28:59,Release,none,0,65 0A,Fwd,false,false,false,false,false,false,false,false,false
213,135,"        0",128 step,Idle,11:28:59,Release,none,0,64 61,Fwd,false,false,false,false,false,false,false,false,false
214,5718,"        0",128 step,Idle,11:28:59,Release,none,0,6D 45,Fwd,false,false,false,false,false,false,false,false,false
215,6044,"        0",128 step,Idle,11:28:59,Release,none,0,6F 52,Rev,true,false,false,false,false,false,false,false,false
216,162,"        0",128 step,Idle,11:28:59,Release,none,0,53 17,Fwd,false,false,false,false,false,false,false,false,false
217,100,"        0",128 step,Idle,11:28:59,Release,none,0,75 4E,Fwd,false,false,false,false,false,false,false,false,false
218,0,"        0"," 28 step",Free,11:28:59,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
219,5960,"        0",128 step,Idle,11:28:59,Release,none,0,65 6B,Fwd,false,false,false,false,false,false,false,false,false
