Slot,Address,Speed,Status,Use,Updated,Release,Consisted,Consist,Throttle ID,Dir,F0,F1,F2,F3,F4,F5,F6,F7,F8
366,8552,"        0",128 step,Idle,11:29:06,Release,none,0,65 0A,Rev,true,false,false,false,false,false,false,false,false
367,1984,"        0",128 step,Idle,11:29:06,Release,none,0,6F 52,Fwd,false,false,false,false,false,false,false,false,false
368,9272,"        0",128 step,Idle,11:29:06,Release,none,0,6F 52,Fwd,false,false,false,false,false,false,false,false,false
369,31,"        0",128 step,Idle,11:29:07,Release,none,0,6F 53,Fwd,false,false,false,true,false,false,false,false,false
370,6023,"        0",128 step,Idle,11:29:07,Release,none,0,65 0A,Fwd,false,false,false,false,false,false,false,false,false
371,6628,"        0",128 step,Idle,11:29:07,Release,none,0,42 13,Rev,false,false,false,false,false,false,false,false,false
372,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
373,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
374,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
375,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
376,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
377,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
378,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
379,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
380,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
381,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
382,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
383,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
384,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
385,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
386,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
387,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
388,0,"        0"," 28 step",Free,11:29:07,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
389,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
390,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
391,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
392,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
393,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
394,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
395,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
396,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
397,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
398,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
399,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
400,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
401,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
402,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
403,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
404,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
405,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
406,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
407,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
408,0,"        0"," 28 step",Free,11:29:08,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
409,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
410,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
411,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
412,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
413,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
414,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
415,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
416,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
417,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
418,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
419,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
420,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
421,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
422,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
423,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
424,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
425,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
426,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
427,0,"        0"," 28 step",Free,11:29:09,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
428,0,"        0"," 28 step",Free,11:29:10,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
429,0,"        0"," 28 step",Free,11:29:10,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
430,0,"        0"," 28 step",Free,11:29:10,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
431,0,"        0"," 28 step",Free,11:29:10,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
432,0,"        0"," 28 step",Free,11:29:10,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
